,JobTitle,Company,Location,JobDescription
0,Data Scientist,Australian Bureau of Meteorology,Australia,"Job Description
Data Scientist
Job Reference Number 10960
Classification APS Level 6 (Information Technology Officer Class 2)
Group Science & Innovation
Program Science to Services
Section Climate Research
Location 700 Collins St, Docklands VIC, 3008
Status Ongoing
Working hours Full time
$78,686 - $89,463 per annum, plus an additional 15.4%
superannuation
Salary Range
(This salary range will be increased by 1.5% after 21
September as per the Bureau's Enterprise Agreement 2018.)
Closing Date 11:30 pm AEST/Thursday, 26 September 2019
Applicants Australian Citizenship – see Eligibility Requirements
Affirmative Measures No
A degree or diploma of an Australian institution, or a
Mandatory Requirements comparable overseas qualification, which is appropriate to
the duties.
Contact Officer Scott Power, 0400 650 483, scott.power@bom.gov.au
1
Position No. 10960
Job Description
About us
The Bureau of Meteorology is one of the few organisations that touches the lives of all Australians and
all Australia, every day.
We are Australia's national weather, climate and water agency, in the Environment and Energy portfolio
of the Australian Government, operating under the authority of the Meteorology Act 1955 and the Water
Act 2007. We have expertise and services to help Australian prepare and respond to the realities of their
natural environment, including droughts, floods, fires, storms, tsunami and tropical cyclones.
Our products and services include observations, forecasts, analysis and advice covering Australia's
atmosphere, water, oceans and space environments. We also undertake scientific research in support
of our operations and services. Through regular forecasts, warnings, monitoring and advice, we provide
one of Australia's most fundamental and widely-used public services.
Our employees and contractors work across Australia and remote islands, providing services from the
Antarctic to beyond the equator, and from the Indian Ocean to the Pacific.
We have strong relationships with our customers and partners, including the aviation, agriculture,
energy and resources, national security and emergency services sectors, as well as international science
and meteorological agencies, State and Local governments and the Australian community.
We are also Australia's representative at the World Meteorological Organisation and related
international meteorological treaties and agreements.
Position Overview
The position is for a climate data specialist with extensive experience working in a climate research
environment. The officer will join a small team that conducts climate research to improve understanding
of past and future climate change and climate variability in the Australian and Pacific regions and beyond.
The officer will conduct extensive statistical analyses primarily under the supervision of a Senior Principal
Research Scientist and, from time-to-time, under the supervision of other scientists in the team. This will
routinely involve analysis of climate observations and extremely large data sets from many different
climate models. The officer will also conduct experiments using the Australian Climate Community Earth
System Simulator (ACCESS) global coupled model, and will be expert in the innovative application of
statistical and IT methods encountered routinely by the group: e.g. EOF analysis, statistical testing, and
spectral filtering. The officer will need to have outstanding scientific programming and visualisation skills,
with a proven record demonstrating an ability to conduct such work efficiently and effectively to the
standard required for international, high impact, peer-reviewed articles dealing with climate science.
This will include extensive experience in working in a UNIX environment, and scientific analysis and
visualization packages such as Python, IDL and CDO.
The applicant will need to have a good understanding of basic climate science, including climate
variability and climate change in Australia and the Pacific - including the El Niño-Southern Oscillation.
The officer will need to be able to meet deadlines, and work effectively as part of a small team. The
2
Position No. 10960
Job Description

position will involve close collaboration with other scientific and technical staff in the Science to Services
Program and elsewhere.
The successful candidate will conduct extensive statistical analyses of climate model output and
observational data under the supervision of a Senior Principal Research Scientist. This will routinely
involve analysis of climate observations and extremely large datasets from many different climate
models. You will be expert in the application of statistical and IT methods encountered routinely by the
group: e.g. EOF analysis, hypothesis testing and statistical testing more broadly, spectral filtering, and
Monte Carlo methods. You will also conduct experiments with the Australian Climate Community Earth
System Simulator (ACCESS).
The position requires outstanding scientific programming and visualisation skills, with a proven record
in the ability to conduct such work efficiently and effectively to the standard required for high impact,
international, peer-reviewed journals dealing with climate science. This will include extensive experience
and a high degree of skill working in a UNIX environment, and scientific analysis and visualization
languages such as Python and IDL.
The position will involve close collaboration with scientific and technical staff in the Science to Services
Program and elsewhere.
Job Responsibilities/Duties
Under general direction,
1. Conduct detailed statistical analyses of Coupled Model Intercomparison Project (CMIP) model
simulations, ACCESS model simulations and observational data.
2. Assist the team in devising and lead the implementation of, statistical methods to test
hypotheses, test and evaluate model simulations and to improve our understanding of climate
variability and climate change in Australia, the Pacific and beyond.
3. Produce and contribute analyses, figures and information for reports, and scientific papers in
high impact, international climate science journals.
4. Comply with all Bureau work, health and safety policies and procedures, and take reasonable
care for your own health and safety and that of employees, contractors and visitors who may be
affected by your conduct.
5. Be aware of, and apply as necessary, the principles and practices of the various elements of the
Bureau's Social Justice Strategy.
Duties representing highest function: 1, 2 and 3.
Immediate Supervisor: Senior Principal Research Scientist (Duties No. 60011975)
3
Position No. 10960
Job Description
Selection Criteria
Applicants are required to address the selection criteria. Responses to the selection criteria should be
limited to a maximum of 300 words per criterion. For information on how to address the selection criteria
refer to A Guide on Addressing Selection Criteria for Applicants.
1. Demonstrated very high-level programming skills, including extensive experience in working in a
UNIX-based environment, in developing and using scripts, and with scientific and visualisation
programming languages such as Python, IDL, CDO and FORTRAN90 for the purposes of climate
research.
2. Extensive expertise in the development and innovative application of sophisticated statistical tools
to both observations and extremely large multi-model ensembles of climate models and experience
in running global coupled climate models, to improve understanding of climate change and climate
variability in Australia, the Pacific and more broadly.
3. Sound understanding of basic climate science, climate change and climate variability in Australia
and the Pacific.
4. Ability to work efficiently, effectively and productively, when working as part of a small team, under
the broad direction from the supervisor, and to be the focal point for climate change research on IT
issues more broadly within the section.
5. Good verbal and written communication skills, including the ability to efficiently and effectively
report on progress and results, contribute to planning of complex scientific and technical issues, and
to provide high quality figures and analyses suitable for high impact, international peer-reviewed
publications.
6. Knowledge and understanding of the principles of the Bureau’s Social Justice Strategy and a
commitment to apply them in practice.
Merit List
The selection process will establish a merit list that may be used to fill similar positions within 12
months.
How to Apply
Your application will consist of a resume, including contacts for two referees and provide your
responses to the selection criteria (maximum of 300 words per criterion).
When addressing the selection criteria, you should take into consideration the position overview, the
job responsibilities, the selection criteria and the relevant section of the Integrated Leadership System
(ILS) and APS work level standards when writing your response.
Where possible include specific examples of your work experience that relate to the job using the STAR
method:
Situation What was the situation?
Task What tasks were involved in that situation?
4
Position No. 10960
Job Description

Action What actions did you take?
Results What were the results of those actions?
If this sounds like the opportunity you are looking for, submit an online application through the Bureau
of Meteorology Career website by the closing date.
RecruitAbility
The Bureau of Meteorology is committed to supporting the employment and career development of
people with disability. RecruitAbility applies to this vacancy. Under RecruitAbility you will be invited to
participate in further assessment activity for the vacancy if you choose to apply under RecruitAbility;
declare you have a disability; and meet the minimum requirements for the position.
Workplace Adjustments
We provide reasonable adjustments such as access, equipment or other practical support at relevant
stages of the recruitment process.
Additional information

To find out more about the employment conditions at the Bureau, please refer to the Bureau of
Meteorology Enterprise Agreement 2018.

For further information on our recruitment process and how to apply refer to our careers website
http://www.bom.gov.au/careers/apply.shtml.

Should you experience any difficulties with accessing the eRecruit system and applying online, please
contact the Recruitment Unit by email jobs@bom.gov.au or phone 03 9669 4401.
5
Position No. 10960"
1,Data Scientist,Equifax,Melbourne VIC,"Why join the Data & Analytics team at Equifax?
Equifax employs 10,000+ employees across 24 countries/1,600 employees in Australia and 82 are employed in our D&A teams here. Equifax uses data, analytics and technology to provide first-class products for its customers. One billion consumers and over ninety million business customers worldwide rely on Equifax to organise, assimilate and analyse data.
Fabulous opportunities to work with some of our largest blue-chip customers across Australia
Chance to use cutting-edge statistical/modelling tools across literally hundreds of data assets
Collaborate & learn from some of the best data minds in Australia who are passionate about all things data and analytics
Attend relevant seminars, participate in hackathons & gain exposure across all phases of the data and analytics lifecycle
Equifax is also recognised as one of the three largest credit agencies in the world. Equifax has grown from a consumer credit company into a leading provider of insights that helps its customers make more informed decisions.
The Data Scientist will hold a senior role within the Data Science team. The main responsibility of the Data Scientist is to deliver innovative decision science models & attributes that leverage Equifax’s vast data assets. These include decision areas covering the credit lifecycle, geodemographic & marketing attributes, ratings & fraud models, as well as any new areas where data driven decision making can be informed by predictive modelling.
Key responsibilities include:
Project management, defining business and technical requirements, resource planning and analytic solution design and innovation in a big data environment, as well quality control of analytical output.
Ideally, you’ll have experience within risk management, credit scorecard development, marketing analytics or fraud modelling.
So, what will impress us for the Data Scientist position?
5+ years experience in a similar role (as described above)
Qualification in Mathematics or Statistics. Alternatively, analytics, data science, econometrics or computer science preferred
Experienced using SQL, R, Python & Tableau
Solid communication/presentation skills (this role involves significant client facing)
Commercially savvy
Background in financial services, telecommunications, utilities or retail favourable (not essential)
What's in it for you?
Other than offering a very competitive salary here are just a few of the other benefits we offer:
Work/life balance & flexibility, employees consistently rate this category as 'five stars'
Curated learning opportunities available through Equifax's online training portal. We will also fully support further educational opportunities on a case by case basis
Income Protection Insurance, benefit payment for up to 75% of salary up to two years
Structured onboarding/induction training for new employees
You are eligible for a paid day off for your birthday, paid floating day and a paid volunteer day
Final Friday of every month we facilitate a companywide gathering/celebration (drinks/canapes)
Stunning offices in central locations
Company sponsored events/access to corporate boxes
Multiple local and international career opportunities given our 10,000+ employees in 24 countries. Offices in London, New York, Paris, Atlanta & Dublin to name just a few
Several recognition programs
Referral reward - successfully refer a new employee and receive between $1,500-$6,000
Employee Assistance Program - Free counselling services
Novated lease options available
Why you might love working as a Data Scientist at Equifax:
https://www.youtube.com/watch?v=ocWQW3eJrHI
Equifax in the community:
www.youtube.com/watch?v=vb1JXImv-8M
Primary Location:
AUS-Melbourne
AUS-Sydney-100-Arthur
Function:
Function - Data and Analytics
Schedule:
Full time"
2,IBM Research Scientist – Blockchain Postdoc FTH 24Months Melbourne,IBM,Melbourne VIC,"Introduction
IBM Research Scientist – Blockchain Postdoc FTH 24Months Melbourne

Melbourne Based
24 Month Fixed Term Hire
Compensation package from $89,250 (full-time equivalent inclusive of superannuation) and will be determined based on successful candidates’ relevant skills and experience.

Your Role and Responsibilities
Candidates will be joining a team of researchers and software engineers to conceive, build, test and deploy solutions for some of the world’s challenging technology problems. You will be working under the direction of senior IBM research scientists globally and will be expected to publish at high quality academic conferences and journals as well as relevant industry venues.

Ideal candidates will have expertise in several of the following areas:
Expertise in designing, developing, and evaluating distributed systems middleware.
A solid background in programming and exposure to end-to-end software development practices.

Required Experience:
A recent PhD in Computer Science or related field.
Worked on one or more projects that involved the application of principles in distributed systems in areas relating (but not limited) to distributed databases and file/storage systems, distributed protocols, peer-to-peer systems, fault-tolerant and highly available systems, and scalable operating systems.
Designed, developed, and evaluated methods and algorithms for solving distributed systems problems.
Expertise in one or more programming languages, and a strong background in data structures and algorithms. Exposure to Distributed Ledger Technologies will be viewed very positively.
Exposure to Cryptography, Game Theory and Mechanism Design will be viewed very positively.
Experience working in teams and have applied well-known end-to-end software development practices.




Required Professional and Technical Expertise
As above

Preferred Professional and Technical Expertise
As above

About Business Unit
With more than 3,000 researchers in 12 labs located across six continents, IBM Research brings together hundreds of researchers who possess unparalleled industry expertise to address some of the world's most challenging problems. Join us as we do pioneering work in areas such as cognitive computing, augmented intelligence, quantum computing, and blockchain, to name a few.

Your Life @ IBM
From landing the first astronauts on the moon to building the first cognitive system to win Jeopardy! IBM with its diverse culture, continues to be the innovative spark of the computing revolutions that shape our world. At the core of IBM’s innovation are its 12 global research labs. IBM Research Australia is a young, proud and diverse community working on industry solutions, conceiving, designing and building next generation enterprise systems.

About IBM
IBM Research Australia is looking for a Postdoctoral Researcher to join our Blockchain Platforms team. This team is working on challenging long-term problems in the areas of Blockchain interoperability, scalability, value networks and governance, while also working with enterprise clients to realise the value of blockchain systems today.

Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
3,Data Scientist,NAB - National Australia Bank,Melbourne VIC,"Work type: Permanent Full time
Location: Aust - VIC Metro
Do you get excited about solving complex problems?
Do you relish working in a dynamic evolving environment?
Drive advanced analytic data to create real value
Build deep relationships working as part of the business that directly supports our customers
About the Role
The purpose of the role is to support the design, development and maintenance of analytical and advanced analytical models that will contribute to delivering business tangible, actionable outcomes to enable B&PB to better support our customers.
Working with B&PB Performance Insights & Customer Alignment (PI&CA), Enterprise Data, key value chain partners and the broader analytics community you will provide support for the following:

Extract and manipulate data from a variety of sources and subsequently cleanse, standardize, scale, bin, categorise, tokenise, stem and transform it to get the data into a state suitable for further analysis
Modelling for operational analytics
Support the design and the approach for operational execution of model scoring and the closed loop feedback paths required to support true test and learn, including techniques, tools and consideration of lifecycle management framework, meta-data, coding standards, version control, scheduling, error handling, data quality, referential integrity and testing (including model accuracy and batch performance and integration testing)

Ongoing model maintenance
About You
Tertiary trained in Statistics, Mathematics, Computer Science or similar industry experience, together with an openness to new ways of thinking and working, you will also bring the following:
Required expertise in the following areas:
Predictive Modelling
Feature Engineering
Machine Learning
Required technical skills:
R, Python, and SQL
Desirable skills & experience:
Visualisation products
Hadoop, MapReduce, Hive, Pig, Spark, NoSQL
About NAB
We strive to embrace diversity of thought, style and working arrangements to ensure our workforce is representative of the community that we serve. We believe in people with ideas and dreams, and we want you to achieve your aspirations.
At NAB we work together to deliver exceptional outcomes that push the limits of expectations. Our passion about creating value and exceeding our customers' expectations means we're constantly striving to redefine our standards of excellence.
If you have the skills and drive that we are looking for, we would love to hear from you.
At NAB we support workplace flexibility. Have a chat to us about how this can work for you…"
4,Research Scientist - Health AI Research Staff Member - Melbourne,IBM,Melbourne VIC,"Introduction

Your Role and Responsibilities
Research Scientist - Health AI Research Staff Member - Melbourne


Offered on a permanent regular employment basis or on a fixed term hire 24 Months basis

We are seeking a highly motivated and passionate researcher to join our AI for Health team. Our mission is to develop Artificial Intelligence (AI) technologies for helping deliver top quality health care while mitigating the spiralling costs of the health care system. In order to make this a reality, we develop AI and advanced machine learning methodologies in collaboration with clinical researchers. We are seeking a proactive, passionate researcher to contribute to our AI applications for eye disease management. The candidate will proactively contribute across disciplines and geographies to work towards developing the transformational ideas that will have impact on the world.



You will work with a team of established researchers to generate new ideas and will be expected to implement and communicate these ideas through software demos as well as scientific publications and conferences and contribute to IBM’s patent portfolio. You will contribute to the team strategy also supervise postdoctoral researchers and interns. Researchers have the opportunities to network not only with local colleagues but also have access to a global network of eminent and passionate researchers only too willing to share their knowledge. You will also have the opportunity to explore all IBM has to offer throughout the whole research-development-delivery pipeline.


Required expertise
Extensive knowledge and at least two years hands-on experience of using machine learning/deep learning for knowledge representation, reasoning and inference by use of multimodal data
Domain knowledge in healthcare/life sciences.
Familiarity with NLP would be a great add-on.
Expert level programming skills in Python and/or other programming languages.
Academic output documented via journal/conference publications in the field.

Required Qualifications:
A Doctorate degree in computer science or related field.

Compensation package from $89,250 (full-time equivalent inclusive of superannuation) and will be determined based on successful candidates relevant skills and experience.

To apply:
Upload your CV, cover letter, academic transcript and your Right to Work document

Application's for the role will close on the 14th June 2019

EO Statement
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.


Required Professional and Technical Expertise
As above

Preferred Professional and Technical Expertise
As above

About Business Unit

Your Life @ IBM

About IBM

Location Statement

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
5,Senior Data Scientist,NAB - National Australia Bank,Melbourne VIC,"Work type: Permanent Full time
Location: Aust - VIC Metro
Contribute to the establishment of a world-class analytics and insights practice within the B&PB Performance Insights and Customer Alignment (PI&CA) team
Drive analytical model design and data discovery to deliver business outcomes
Coach and mentor junior data scientists
Extract and manipulate data from a variety of sources for use in current and future state architecture
Build deep relationships working as part of a team that directly supports the front-line business
About the Role
The purpose of the role is the development of various types analytical and advanced analytical models which provide insights that will contribute to delivering business tangible, actionable outcomes to enable B&PB to better support our customers.
Key responsibilities
Working with B&PB Data & Analytics, Enterprise Data, key value chain partners and the broader analytics community you are responsible for the following:
Coaching and Best Practice
Coach and mentor junior data scientists in all stages of model development. Ensure B&PB development reflects industry best practice (including capability and ethics)

Model Design & Data Discovery
Assess and select modelling techniques and potential data sources to address the given business problem, including analysis of new and existing data sources to determine their applicability

Data Preparation
Extract and manipulate data from a variety of sources and subsequently cleanse, standardize, scale, bin, categorise, tokenise, stem and transform it to get the data into a state suitable for further analysis

Modelling for Operational Analytics
Design and develop the approach for operational execution of model scoring and the closed loop feedback paths required to support true test and learn, including techniques, tools and consideration of lifecycle management framework, meta-data, coding standards, version control, scheduling, error handling, data quality, referential integrity and testing (including model accuracy and batch performance and integration testing)
Collaborate & Influence Key Stakeholders
About You
You will have a post graduate qualification in Statistics, Mathematics, Computer Science or similar industry experience, as well as, importantly, a track record of delivering outcomes in a corporate, commercial environment, ideally Financial Services or related industry. You’ll have a background in statistical analysis and modelling techniques over large data sets, with proven capability constructing, validating, and implementing models.
An ability to build appropriate models from scratch and justify the methods and science used is essential, together with being able to explain simply how complex models work, and how they can be used in the real world to achieve desired business banking outcomes.
Required expertise in the following disciplines:
Predictive Modelling
Text Analytics & Sentiment Analytics
Feature Engineering
Machine Learning
Cloud-based analytics development
Required technical skills:
Strong R, Python, and SQL
Desirable skills & experience:
Visualisation products
Hadoop, MapReduce, Hive, Pig, Spark, NoSQL
Micro services and API experience
About NAB
We strive to embrace diversity of thought, style and working arrangements to ensure our workforce is representative of the community that we serve. We believe in people with ideas and dreams, and we want you to achieve your aspirations.
At NAB we work together to deliver exceptional outcomes that push the limits of expectations. Our passion about creating value and exceeding our customers' expectations means we're constantly striving to redefine our standards of excellence.
If you have the skills and drive that we are looking for, we would love to hear from you.
At NAB we support workplace flexibility. Have a chat to us about how this can work for you…"
6,Specialist Data Science,BHP,Queensland,"About BHP
At BHP we support our people to grow, learn, develop their skills and reach their potential.

With a global portfolio of operations, we offer a diverse and inclusive environment with extraordinary career opportunities. Our strategy is to focus on creating a safe work environment where our employees feel strongly connected to our values and objectives, and where the capability of our people is key to our success.

Come and be a part of this success.
About the role
BHP’s Maintenance and Engineering Centre of Excellence (MECoE) is the coming together of a dedicated, innovative team focused on identifying, achieving and maintaining the highest standards in maintenance for BHP globally.

This role will be performed from our Centre of Excellence hubs based in our Brisbane office on permanent and fixed term contracts, supported by the latest technology to engage with our operations around the Australia and the globe. You will be a member of a diverse team of data analysis and analytics team of around 40 data scientists, systems dynamics specialists, data visualization specialists and data analysts.

As a Specialist Data Scientist, your role will be key in ensuring the Maintenance function is continuously improving its effectiveness through having integrated fit-for-purpose Data Analytics processes. You will be part of a global function, whose fundamental outcome is to deliver data driven solutions that will support and improve the performance of our equipment and Maintenance processes.

In this role you will have to opportunity to work on projects related to:
Generating business insights through discovery and exploration of multiple structured and unstructured sources;
Creating, running and maintaining ETL processes within a big data environment; and
Applying state-of-the-art data science algorithms and methods to provide practical solutions that deliver tangible business value.
Whilst:
Confidently presenting ideas, results and recommendations to internal stakeholders;
Working collaboratively with the larger data analytics team and subject matter experts; and
Keeping up-to-date with latest trends and best practices in Data Science.
About You
Your CV should ideally outline your skills and experience in the following areas:
Variety of machine learning and statistical modelling techniques (both supervised and unsupervised), e.g. text mining, streaming analytics, clustering, deep learning and their real-world implications;
IBM Watson, Programming (R, Python, Shiny, SPSS);
Story telling using different forms of data visualization;
Descriptive, diagnostic, predictive, and prescriptive modelling;
Structured and Unstructured data mining;
Dimensionality reduction and feature engineering;
Automation of data preprocessing, wrangling, preparation and other ETL processes
Strong Cloudera, HUE, Impala, SQL skills;
Experience with big data technology;
Experienced within a project management framework and mindset;
Experience in working with variety of stakeholders and people with different areas of expertise;
Experience in structured problem solving approaches to generate business value through analytics; and
A relevant tertiary qualification (Master’s degree in Computer Science, Statistics, applied math, or related discipline) is advantageous.
Supporting a diverse workforce
At BHP, we recognise that we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people.

We know there are many aspects of our employees’ lives that are important, and work is only one of these, so we offer benefits to enable your work to fit with your life. These benefits include flexible working options, a generous paid parental leave policy, other extended leave entitlements and parent rooms."
7,Senior Data Scientist,Telstra,Melbourne VIC,"At Telstra, we believe the more connected people are, the more opportunities they have. That's why we help create a brilliant connected future for everyone, everyday.
In our Consumer & Small Business team, we meet the needs of all consumers and small businesses and grow value by delivering digitally-led propositions and outstanding customer journeys, leveraging our insight into customer needs and our superior sales and service capabilities.
Mission:
To identify, prioritise, develop and undertake a range of advanced analytical and machine learning activities leveraging our automated personalisation platform and extensive data assets to solve complex business problems and generate demonstrable value for the business.
In this role you will:
Identify opportunities where analytics can help to address a business issue and determine which analytics approaches will deliver the best solution for the business.
Be a trusted advisor to the business, cultivating relationships with key stakeholders and explaining complex technical concepts in easy to understand ways.
Plan and implement data science projects to develop and experiment with new data analytic approaches and solutions.
Work closely with the data ingestion and data platform teams to develop, maintain and optimise end to end analytics solutions utilising our personalisation platform to deliver the right message at the right time.
Apply a creative use of algorithms to formulate hypotheses, forecast probabilities and deliver actionable recommendations.
Develop advanced statistical modelling tools, techniques and methodologies to resolve complex problems and facilitate ongoing data research activities for the enterprise.
Qualifications:
Postgraduate degree in STEM field such as Data Science, Statistics or Maths.
7+ years of experience in commercial environments applying cutting-edge machine learning models and analytics techniques, such as; data mining, predictive analytics, machine learning, deep learning, reinforcement learning (e.g. multi-armed bandits).
Rigorous applier of scientific methodologies to shape experiment design.
Experience in working in a closed-feedback-loop machine learning environment or in driving analytics in a customer loyalty environment would be advantageous.
Experienced user of SQL, Python and R in a data science environment developing production level code. Experience of AWS Sagemaker useful.
Openness to new ways of thinking and excited about pushing the technical boundaries.
Experienced in framing and solving analytics problems, even when in an ambiguous context.
Good stakeholder management skills.
Commercial awareness.
If you're excited about the opportunity to be part of a team, committed to delivering amazing experiences for our customers – this could be the role for you!"
8,Educational Data Scientist,The University of Queensland,St Lucia QLD,"Institute for Teaching and Learning Innovation
The Institute for Teaching and Learning Innovation (ITaLI) is taking a leading role in teaching and learning, professional education and innovation. ITaLI is an integrated teaching, research and service delivery centre for teaching and learning practices at UQ. ITaLI seeks to establish and maintain a flexible operating structure to drive and support innovation and excellence for these activities.
About This Opportunity
As the Educational Data Scientist, you will design data-driven solutions to inform and lead improvements in student learning. You will collaborate with ITaLI staff and Faculties in developing statistically grounded interventions, providing staff and students with timely information and feedback to facilitate student success.
This position is located at our picturesque St Lucia campus, renowned as one of Australia’s most attractive university campuses, and located just 7km from Brisbane’s city centre. Bounded by the Brisbane River on three sides, and with outstanding public transport connections, our 114-hectare site provides a perfect work environment – you can enjoy the best of both worlds: a vibrant campus with the tradition of an established university.
Our Ideal Candidate
As the ideal candidate, you will have experience in learning analytics/educational data mining methods, statistics and predictive modelling, as well as postgraduate qualifications or equivalent experience in a relevant discipline including:
Statistics,
Computer science,
Learning analytics,
Educational data mining,
Educational psychology,
Learning sciences; or
Machine learning.
You must have ongoing unrestricted work rights in Australia to apply for this opportunity.
We value diversity and inclusion, and actively encourage applications from those who bring diversity to the University. Our Diversity and Inclusion webpage contains further information if you require additional support. Accessibility
What We Can Offer
This is a full-time, continuing position at HEW level 8.
The full-time equivalent base salary will be in the range $ 96,466 - $108,318, plus super of up to 17%. The total FTE package will be in the range $112,865 - $126,732.
You will be able to take advantage of UQ Sport Facilities, recreation leave loading (of 17.5%), salary sacrificing options, on-campus childcare, discounted private health insurance, affordable parking, development programs and many other benefits.
For further information, please review The University of Queensland's Enterprise Bargaining Agreement 2018-2021.
Position Description
508434_3027449_Educational Data Scientist.pdf
Questions?
To discuss this role please contact Aneesha Bakharia at a.bakharia1@uq.edu.au
Want to Apply?
To submit an application for this role, use the APPLY NOW button below. All applicants must supply the following documents:
Cover letter addressing key selection criteria (Up to 2 pages)
Resume
To satisfy pre-requisite questions and ensure your application can be considered in full, all candidates must apply via the UQJobs portal by the job closing deadline. Applications received via other channels including direct email will not be accepted."
9,Data Scientist-Advanced Analytics– IBM Ballarat,IBM,Ballarat VIC,"Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
Data Scientist-Advanced Analytics– IBM Ballarat
Work in a role where no two days are the same
Collaborate with stakeholders of all levels
Permanent position, based in Ballarat

We are the trusted partner for Australia and New Zealand’s businesses and governments as they reinvent using cloud, AI and blockchain within a secure environment. Our clients succeed because of our world-leading researchers, engineers and designers and our deep industry expertise. We celebrate our diversity and unite in our passion for IBM. We are #anewIBM

What will I be doing?
Responsible for the provision of specialist, expert analytical advice and advanced techniques to develop new ways to address the challenges associated with client main use cases. This role works closely with business data analysts and subject matter experts, to deliver analytic applications and insights that drive the performance of client’s business.

Managing agile, cross functional teams to deliver analytic applications and insights that drive the performance of our business.
Driving the collection of new data and supporting data analysts in the areas of data curation, feature development, and development of interactive dashboards.
Developing machine learning algorithms to predict the likelihood of workplace injuries, worker outcomes, fraud etc.
Assisting development and implementation of best practice data science guidelines to improve the analytic and modelling processes.
Analysing large and complex data sources using appropriate tools and techniques to
provide insights and validate hypotheses.
Effectively communicating complex analyses and findings in a clear and concise manner to non-technical audiences.
Developing colleagues in their data science skills, including participation in our analytic community.



What skills will I need?
Understanding of statistics (e.g. hypothesis testing, regressions etc).
Demonstrated experience with advanced data science analytic tools in analytic programming languages such as SAS, SQL, R, Python.
A strong knowledge of and experience using data visualisation tools in day to day work (e.g. SAS VA, QlikView, Tableau).
Demonstrated ability to liaise in a professional manner with a range of internal and external clients/stakeholders.
Highly developed written and oral communication skills.
What experience do I need?
Hands on experience in managing large quantum of data in Big Data environment (e.g. Hadoop platform) an advantage.
Experience in leading teams and individuals to develop analytical applications to support business objectives
Advanced degree in computer science or equivalent.
Depth of understanding in database design, including conceptualisation to database optimisation.
Ability to conceive and portrait big data picture.
Significant knowledge of relational database management systems to capture and utilise data.

Sign me up!
If you tick these boxes, and are ready to start your next challenge with a career at IBM – click “Apply” today. To find out more, head to www.ibm.com.au/careers
#PRIDE19AP #PRIDE19


Required Professional and Technical Expertise
As Above

Preferred Professional and Technical Expertise
As Above

About Business Unit
IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

Your Life @ IBM
What matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
